ID,HS_nr,Local_ID,Excavation_field,Bearing_degrees,Sex_estimation,Age_category,Age_years,Stature_cm,Church_distance_m,Easting_UTM32N,Northing_UTM32N
198,262,TX,C,44.3,Female,Adult unsp.,20,,25.31027462,580173.4739921594,6570843.8272661325
199,263,TW,C/D,63.1,Female,Adultus,20–25,157,34.68957317,580205.5855174751,6570837.3359892815
200,265,TW,C/D,79.9,Female,Adultus,20–22,154,25.51092388,580201.1935101984,6570836.8675634498
201,265,TX,C,51.9,Female,Adult unsp.,20,,25.51092388,580173.9899453700,6570844.2747905347
202,266,TW,C/D,48.9,Female,Adultus,20,,37.82771645,580210.5252807618,6570836.4073797204
203,269,TW,C/D,54.1,Female,,,161,38.31312254,580210.3302178066,6570837.4348944416
204,270,TX,B,63.3,Female,Adultus,18–30,,18.1723625,580197.7754274990,6570832.6705462644
205,270,TW,C/D,94.2,Male,Adultus,30–40 ,,18.1723625,580210.2697757642,6570838.0145885758
206,271,TW,C/D,63.9,Female,Maturus/Senilis,50,,39.0132842,580210.3412072690,6570838.5173564740
207,271,TX,B,71.8,Male,Adultus,18–20,170,39.0132842,580197.6397256906,6570831.9728702977
208,272,TX,B,55.2,Male,Maturus,30–50,171,16.73754092,580196.5679114094,6570831.8732023034
209,273,TW,C/D,76.3,Female,Adultus,30,162,30.90876086,580202.3477471564,6570835.2370019890
210,273,TW,C/D,95.6,Female,Adultus,30,162,30.90876086,580208.2779357292,6570837.4596207319
211,275,TX,B,64.2,Male,Senilis,50,161,16.24909567,580196.8998824992,6570830.7001866726
212,276,TW,C/D,63.7,Female,Adultus,,,36.60823742,580207.6597784770,6570837.9266728777
213,279,TW,C/D,52.7,Female,,,161,29.90190574,580201.7982740432,6570834.3633397389
214,280,TW,C/D,53.5,Female,Adultus,,,36.83618111,580209.6351343186,6570835.9375802083
215,280,TX,B,74.8,Male,Maturus,30–40,165,36.83618111,580194.6903440068,6570835.6500236047
216,281,TW,C/D,74.5,Female,Adultus,,159,31.52471014,580202.9768938710,6570835.4787701592
217,281,TX,B,46.5,Male,Adult unsp.,20,,31.52471014,580199.1700216886,6570827.0675269812
218,282,TW,C/D,60.4,Female,Juvenis/Adultus,17–18 ,159,24.31386186,580203.0589714174,6570836.3125956059
219,282,TX,C,42.4,Female,Maturus,30–50,153,24.31386186,580174.8008267422,6570843.3167872261
220,283,TW,C/D,54.2,Female,Adultus,30–35 ,,25.09277954,580203.2942145936,6570836.1216537021
221,283,TX,C,47.3,Female,Adult unsp.,20,,25.09277954,580174.1281715618,6570843.8792720260
222,284,TW,C/D,56.4,Female,Adultus,30–35 ,,14.13308029,580209.5582080828,6570835.5337174702
223,284,TX,B,78.7,Female,Adultus,18–30,156,14.13308029,580194.9080096936,6570829.8071511807
224,285,TX,C,52.7,Female,Maturus,30–50,,23.96426078,580174.9376843576,6570842.9951718301
225,285,TW,C/D,59.5,Male,Adultus,,,23.96426078,580201.5757374326,6570834.2012451710
226,286,TW,C/D,58.7,Female,Adultus,,,29.90799073,580201.3834218428,6570834.7809393052
227,287,TW,C/D,60.9,Male,Adultus,,,,580201.2937890412,6570835.2081546485
228,288,TW,C/D,70.3,Female,Adultus,,,30.30821037,580201.2154891228,6570835.4911333015
229,289,TW,C/D,78.0,Female,Adultus,,153,30.14284563,580202.5634153532,6570833.9182665180
230,290,TW,C/D,66.8,Male,Maturus,45–50 ,169,,580203.4988933280,6570834.8276445232
231,291,TX,B,60.0,Female,Adult unsp.,20,,13.61077775,580194.7087467948,6570829.2218765803
232,292,TW,C/D,78.1,Female,Maturus,35–45 ,,34.78419047,580207.1673131998,6570835.7232856974
233,292,TX,B,71.3,Male,Maturus,30–50,169,34.78419047,580195.1457774998,6570829.1525677461
234,293,TW,C/D,81.8,Female,Adultus,30–40 ,151,33.09185815,580206.4275850210,6570833.9594770009
235,294,TW,C/D,41.6,Female,Adultus,,155,34.72194203,580207.9317676680,6570834.6847815104
236,295,TX,C,45.4,Female,Adult unsp.,20,,24.43186827,580174.5750116764,6570843.3510016296
237,296,TW,C/D,87.1,Female,Adultus,,150,34.20495501,580207.9276466196,6570833.8413402820
238,297,TW,C/D,85.8,Female,Adultus,30,161,34.77643783,580207.3458919616,6570835.4980017198
239,298,TW,C/D,65.1,Female,Adultus,18–19 ,159,32.43120423,580206.5292375468,6570832.7506361529
240,298,TX,C,42.5,Male,Adultus,18–30,,32.43120423,580178.7785933374,6570844.4595483150
241,299,TW,C/D,59.1,Female,Juvenis,15–16,,32.66227393,580207.0292580798,6570832.4621627685
242,300,TW,C/D,64.5,Female,Adultus,,,33.27128192,580207.3452051198,6570833.0610884614
243,301,TW,C/D,41.6,Female,Adultus,,160,33.43593299,580207.6199416764,6570832.9649306666
244,301,TX,C,54.5,Male,Adultus,18–30,167,33.43593299,580178.2270571468,6570843.2374098087
245,302,TW,C/D,80.9,Female,Adultus,30,155,34.18542511,580208.1584253272,6570833.4979195856
246,303,TW,C/D,77.3,Female,Adultus,25,159,11.20315065,580208.6680616394,6570836.2507798830
247,303,TX,A,83.3,Female,Adultus,18–30,153,11.20315065,580192.1726803024,6570813.1577087548
248,307,TW,C/D,38.8,Male,,,163,20.29198881,580208.9634034378,6570834.1298136655
249,307,TX,B,76.3,Male,Adultus,20–25,177,20.29198881,580197.4329706220,6570836.0263820477
250,308,TW,C/D,60.5,Female,Maturus,35–40 ,,35.17865343,580209.0348349425,6570833.9814559259
251,308,TX,B,83.8,Male,Adult unsp.,20,,35.17865343,580190.3595536862,6570830.2746810084
252,309,TX,B,81.6,Male,Maturus,30–50,,12.14592289,580191.4505348890,6570830.4126828443
253,310,TX,B,67.0,Male,Maturus,30–50,180,12.73802072,580191.6322373106,6570831.0183575824
254,311,TW,C/D,69.7,Female,Adultus,30–35 ,,32.11836104,580202.7265401836,6570836.5543637751
255,311,TX,B,54.2,Male,Adultus,30–50,170,32.11836104,580192.0577429798,6570830.8849558039
256,312,TW,C/D,54.4,Male,Adultus,18–19 ,,,580204.2640346382,6570837.6162205692
257,313,TX,A,86.1,Male,Maturus,30–50,172,12.53755207,580193.2981995821,6570812.4106639381
258,314,TX,C,54.5,Female,Adult unsp.,20,,24.10695791,580175.0239046554,6570843.1840353385
259,315,TX,C,50.3,Female,Adult unsp.,20,,24.21553358,580175.1990824032,6570843.3701616963
260,316,TX,B,66.3,Female,Adultus,30,155,19.77248368,580196.1848291684,6570836.3890547277
261,317,TW,C/D,57.0,Female,Adultus,20–30 ,,22.80528409,580201.6495728822,6570837.3703313479
262,317,TX,C,59.5,Female,Senilis,50,163,22.80528409,580179.6011076068,6570843.1895096432
263,318,TW,C/D,52.1,Male,Adultus,,,22.93249163,580202.0314566956,6570836.6312900111
264,318,TX,C,51.2,Male,Adultus,18–30,164,22.93249163,580179.3917154550,6570843.2770985179
265,319,TW,C/D,66.3,Female,Adultus,,,34.70491783,580207.8713256256,6570834.7342340909
266,319,TX,A,83.0,Male,Maturus,30–50,,34.70491783,580193.4466592140,6570814.4570404794
267,320,TX,A,86.4,Male,Senilis,50,,12.4040485,580193.1726511721,6570812.4709271751
268,322,TX,B,68.5,Male,Adultus,18–30,,20.61812531,580197.1784154570,6570836.6737185689
269,323,TW,C/D,64.9,Female,Juvenis/Adultus,17–18 ,,32.11215943,580205.2503388762,6570833.8523297450
270,324,TW,C/D,62.0,Male,Maturus,35–40 ,169,18.21626753,580205.8108014516,6570834.9924864545
271,324,TX,B,69.7,Male,Maturus,30–50,,18.21626753,580198.6103386234,6570831.6983999740
272,325,TW,C/D,75.1,Female,Adultus,,156,31.57241119,580204.9865917820,6570833.3248355556
273,326,TX,C,56.3,Female,Maturus,30–50,163,24.03679593,580177.5947749632,6570843.9791780850
274,326,TW,C/D,63.1,Male,Adultus,,,24.03679593,580207.1377790198,6570834.4045502227
275,327,TW,C/D,87.3,Female,Adultus,,150,29.92906151,580201.7131057108,6570834.4869711902
276,329,TW,C/D,72.4,Female,Adultus,20,159,30.99156965,580203.1389884390,6570834.5446658693
277,330,TW,C/D,67.0,Female,Adultus,,157,31.35907788,580203.5318617148,6570834.6628025882
278,331,TW,C/D,49.9,Female,Adult unsp.,,,31.26778977,580202.4658838756,6570835.6243805336
279,332,TW,C/D,65.0,Female,Adult unsp.,,167,31.16296849,580202.1578355118,6570835.7768593207
280,333,TW,C/D,44.5,Male,Adultus,,,18.76676059,580206.7201794536,6570837.1079579396
281,333,TX,B,69.5,Male,Adultus,18–20,,18.76676059,580198.7997078134,6570832.3577420944
282,334,TX,B,75.5,Female,Adultus,18–30,,18.80136078,580199.0918117056,6570832.0311377430
283,334,TW,C/D,56.1,Male,Adultus,19–20 ,171,18.80136078,580206.2531273076,6570836.1436326262
284,336,TW,C/D,73.6,Female,Adultus,30–35 ,157,14.55116835,580207.8108835832,6570836.9623475652
